"id","formula","tipo","R2","R2_adj","dev_expl","AIC","p_global","n"
"G6","GAM: s(GDA) + s(P60) + s(SM_root)","GAM",0.7782,0.7782,0.7946,-189.4,0.04005,97
"G4","GAM: s(GDA) + s(P60) + SPEI_3 + s(Rad7)","GAM",0.7772,0.7772,0.7947,-188.6,0.02549,97
"G6m","GAM: s(GDA) + s(P60) + s(SM_root) + te(GDA, P60)","GAM",0.7799,0.7799,0.7983,-187,0.1578,97
"G3","GAM: s(GDA) + s(P60) + s(Rad7)","GAM",0.7645,0.7645,0.7781,-185.1,0.07593,97
"G5","GAM: s(GDA) + P60 + SPEI_3 + Rad7","GAM",0.7634,0.7634,0.7766,-184.8,0,97
"G2","GAM: s(GDA) + s(P60) + SPEI_3","GAM",0.7638,0.7638,0.78,-183.9,0.02267,97
"G1","GAM: s(GDA) + s(P60)","GAM",0.756,0.756,0.7653,-183.4,3.217e-06,97
"L4","LM: P60 + GDA + Rad7","LM",0.7578,0.75,0.7578,-181.7,1.568e-28,97
"L5","LM: P60 + GDA + SPEI_3 + Rad7","LM",0.7608,0.7504,0.7608,-180.9,9.451e-28,97
"L1","LM: P60 + GDA","LM",0.7478,0.7424,0.7478,-179.7,7.671e-29,97
"L3","LM: P60 + GDA + SPEI_3","LM",0.75,0.742,0.75,-178.6,6.746e-28,97
"L2","LM: P60 + GDA + GDA2","LM",0.7487,0.7406,0.7487,-178.1,8.671e-28,97
